"Id","State","Suppressed","Clone Type","Left Path","Left Line","Left End Line","Left Length","Left Weight","Right Path","Right Line","Right End Line","Right Length","Right Weight","Justification"
"A00048_CRYPTO_A00048-381:CL29","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/secret_seed_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/symmetrickey_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL30","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/secret_seed_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/block_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL31","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/secret_seed_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/crypto_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL32","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/secret_seed_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/digest_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL33","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/secret_seed_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/extension_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL34","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/secret_seed_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/signature_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL35","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/signature_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/symmetrickey_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL36","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/signature_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/block_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL37","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/signature_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/crypto_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL38","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryobj-container/signature_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/digest_service_container.h","1","64","64","61",""
